target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd
k117_34767_6_EEBR-OA	0.8915600741487655	1.1973361335148427	0.5915108917789196	0.1512783996224588	0.04426370280436787	0.7413076779482368	0.5591758573083557	0.6530200396879431	1.0702713574682192	0.158690207890977	1.0913339991482354	0.5864169742766728	1.1063806737812363	0.2425317991982576	0.6180500746330464	0.7940104218924132	0.8242067732588242	0.3447781901922548	0.9726543290364377	0.6572181862265798	0.6278062960132406	0.7259337060781239	0.7395811746609696	1.148986485455504	1.2266795678028828
k117_105536_1_EEBR-OA	0.2082391069776785	0.13573736814959161	0.0048434245906441385	0	0	0.0387323456070838	0.03864820011142616	0.05809525127854449	0.05337843260100335	0	0.00969583737434892	0	0.019345744406533347	0	0	0.05324035930744653	0.06286841623119521	0.024249890513878318	0.07761585049886725	0.07259540927279054	0.10747905264686879	0.029140631493989728	0.00966053452351465	0.1127449475904283	0.06827232296648492
k117_143328_3_EEBR-OA	0.22819752492599413	0.3051095597896672	0.0031920052222094092	0	0	0	0	0	0.0015990210722996634	0	0	0	0.0063747990721757485	0	0.006384564353842519	0.0685800509323297	0.003187133229111815	0	0.10550072127305983	0.030300692566034314	0.03219676218254443	0	0.0031833340306318294	0.1553614588805902	0.014462394665669247
k117_229701_1_EEBR-OA	0.4070707278717988	0.21376547930051887	0.006674192737346946	0.006727269107894312	0.006692502433579066	0.013343200400526476	0.04659974367502101	0.026684900108805122	0.07355496932578452	0.013329640003601468	0.02672154223744009	0	0.09330387732911777	0	0.08677203371813243	0.14672941129707753	0.039984035056130046	0.026732893657404617	0.34091555386583794	0.36012880542597725	0.4241191672955171	0.0803110226820004	0.033280310320241854	0.18360899685887933	0.2889557237241795
k117_261792_1_EEBR-OA	0.3115105611641061	0.2622221528285077	0.02832297019503577	0	0	0.06370192881571143	0.11300184398061659	0.08493112877269447	0.04965893868187483	0	0	0.035362727352282096	0.021211577623407123	0	0.40363734388290184	0.2405766489794723	0.12725883238676924	0.07090323317763407	0.31203935835077595	0.28301154477920376	0.24283222969961682	0.049701787725789585	0.09179959709654531	0.22476150142623458	0.18536009948261026
k117_292761_1_EEBR-OA	0.3258401706420301	0.41457901089232724	0.009136940712481518	0.003069867343995439	0	0.07611159617112537	0.057719146017937754	0.05784156022492638	0.19223864253922288	0.03953780773994016	0.10059960524651981	0.07909514825257155	0.08515506708203324	0.006084958201401302	0.12792826872317203	0.286090315039935	0.015204991496963572	0.021348375229685013	0.1555706348427077	0.09129903000246145	0.0829453268541139	0.27180955838935394	0.25817673049742207	0.19979890672634848	0.16559126119381992
k117_371098_4_EEBR-OA	0.41464581452249244	0.5174940367622599	0.16695789476938558	0	0	0.01615093948094614	0.11818291308204447	0.005383343747818794	0.12950218537667083	0.005378175213808315	0.15633133928679957	0.13986709613775203	0.13444918892571436	0.005380136788111576	0.2962413209355308	0.3767376776546585	0.2903859843265661	0.21032800791651063	0.5663859360728151	0.4951062970635414	0.49978325358572057	0.13501450885246205	0.1772465639217823	0.42739397471977025	0.4609229084996003
k117_448912_3_EEBR-OA	0.42979217358085325	0.3290034784325018	0.0884985858737636	0.008495463707250218	0	0.6192494651138595	0.1681371847747845	0.3243505267756804	0.4771073085874905	0.22303991286992972	0.21090643231212156	0.23151368632143593	0.2735289541467555	0.12208521877796387	0.012643752066295384	0.05895773928251151	0.06732457866450094	0.03797928472022514	0	0	0.017003003110298388	0.4225831757436577	0.28158561052226383	0.1471474844684744	0.3139878608247144
k117_529570_1_EEBR-OA	0.477585165432105	0.40192363555982974	0.02113494366826533	0	0.008477169749200151	0.012676040380500152	0.037945505563945686	0.004225109183894145	0.16092935713095888	0.008442105335614264	0.038078197688352126	0.0591093345682388	0.10552224221745463	0.01266777661928089	0.08454710977664184	0.18585725430963151	0.059087518471836624	0.08042145508602556	0.23284755149660175	0.17317304902891126	0.12364532337557138	0.12292048193828395	0.13068068519081635	0.5098680605081187	0.16598154362761008
k117_545091_24_EEBR-OA	0.4223750883808125	0.4580448006778468	0.008800670549561589	0	0	0	0.2370097823867901	0	0.13666838149175736	0	0.026426509436711255	0	0.013181958333789283	0	0.12322007797100484	0.06595880476288185	0.08787237988150556	0.022031446271283773	0.11018022941479577	0.04836640516849642	0.06213873534157944	0.08383676947166761	0.08337925065090246	0.21417336760510386	0.20823212340566472
