qseqid	sseqid	Gene_catalogue	Enzyme
k117_10150_1	A0A2V5NJZ3	k117_10150_1_EEBR-OA	guaA
k117_102398_2	640511.BC1002_0670	k117_102398_2_EEBR-OA	pstB
k117_10302_1	A0A2V6ATU8	k117_103025_10_EEBR-OA	purH
k117_10372_1	883080.HMPREF9697_01178	k117_10372_1_EEBR-OA	pyk
k117_104624_1	117929319	k117_104624_1_EEBR-OA	dcd
k117_108462_4	A0A6I3C1W5	k117_108462_4_EEBR-OA	pstB
k117_109256_11	172088.AUGA01000059_gene4267	k117_109256_11_EEBR-OA	gdh
k117_10941_2	A0A2V9YX62	k117_10941_2_EEBR-OA	pstA
k117_109584_1	brad:BF49_2816	k117_109584_1_EEBR-OA	phoP
k117_109961_1	rhz:RHPLAN_44560	k117_109961_1_EEBR-OA	purN
k117_110553_3	108805973	k117_110553_3_EEBR-OA	gdh
k117_114004_4	44060.JODL01000004_gene2517	k117_114004_4_EEBR-OA	phnC
k117_116067_2	1463820.JOGW01000003_gene7011	k117_116067_2_EEBR-OA	phnC
k117_116067_3	1394178.AWOO02000027_gene5296	k117_116067_3_EEBR-OA	pstB
k117_117930_1	69279.BG36_18620	k117_117930_1_EEBR-OA	purH
k117_118904_1	A0A537TEH7	k117_118904_1_EEBR-OA	purC
k117_120581_2	1040989.AWZU01000002_gene5140	k117_120581_2_EEBR-OA	gnd
k117_121934_1	35754.JNYJ01000024_gene9065	k117_121934_1_EEBR-OA	phnC
k117_123274_2	maqu:Maq22A_c16555	k117_123274_2_EEBR-OA	gnl
k117_124102_4	220914872	k117_124102_4_EEBR-OA	pit
k117_131140_4	rhz:RHPLAN_39430	k117_131140_4_EEBR-OA	pyrG
k117_131977_2	ace:Acel_1820	k117_131977_2_EEBR-OA	gnd
k117_134451_1	113395.AXAI01000018_gene4790	k117_134451_1_EEBR-OA	phnL
k117_135347_4	A0A535XB99	k117_135347_4_EEBR-OA	adk
k117_137813_2	28042.GU90_08580	k117_137813_2_EEBR-OA	guaB
k117_138352_1	A0A538NTB0	k117_138352_1_EEBR-OA	purE
k117_138696_1	1232453.BAIF02000026_gene4371	k117_138696_1_EEBR-OA	gdh
